"id","ciprofloxacin","moxifloxacin"
"SRR6045918",NA,NA
"ERR2512416",NA,NA
"ERR2512417",NA,NA
"ERR2512418",NA,NA
"ERR2512419",NA,NA
"ERR2513047",NA,NA
"ERR2512421",NA,NA
"ERR2512422",NA,NA
"ERR2512423",NA,NA
"ERR2512424",NA,NA
"ERR2512425",NA,NA
"ERR2512426",NA,NA
"ERR2512427",NA,NA
"ERR2512390",NA,NA
"ERR2512429",NA,NA
"ERR2512430",NA,NA
"SRR6046675",NA,NA
"ERR2512431",NA,NA
"ERR2512432",NA,NA
"ERR2512433",NA,NA
"ERR2512434",NA,NA
"ERR2512435",NA,NA
"ERR2512436",NA,NA
"ERR2512437",NA,NA
"ERR2512438",NA,NA
"ERR2512439",NA,NA
"SRR6045699",NA,NA
"ERR2512440",NA,NA
"SRR6045870",NA,NA
"ERR2512441",NA,NA
"SRR6045232",NA,NA
"ERR2512442",NA,NA
"ERR2512443",NA,NA
"SRR6045291",NA,NA
"SRR6045704",NA,NA
"ERR2512444",NA,NA
"ERR2512445",NA,NA
"ERR2512446",NA,NA
"ERR2512447",NA,NA
"SRR6046861",NA,NA
"ERR2512448",NA,NA
"ERR2512449",NA,NA
"ERR2512450",NA,NA
"ERR2512451",NA,NA
"ERR2512452",NA,NA
"ERR2512453",NA,NA
"ERR2512454",NA,NA
"ERR2512455",NA,NA
"ERR2512456",NA,NA
"ERR2512457",NA,NA
"ERR2512458",NA,NA
"ERR2512616",NA,NA
"ERR2512460",NA,NA
"ERR2512461",NA,NA
"SRR6045015",NA,NA
"ERR2512462",NA,NA
"SRR6046212",NA,NA
"ERR2512463",NA,NA
"ERR2512464",NA,NA
"ERR2512465",NA,NA
"SRR6046461",NA,NA
"ERR2512466",NA,NA
"ERR2512467",NA,NA
"SRR6044840",NA,NA
"SRR6046260",NA,NA
"ERR2512468",NA,NA
"ERR2512469",NA,NA
"ERR2512470",NA,NA
"ERR2512471",NA,NA
"ERR2512472",NA,NA
"ERR2512473",NA,NA
"ERR2512474",NA,NA
"ERR2512475",NA,NA
"ERR2512476",NA,NA
"SRR6045743",NA,NA
"SRR6046574",NA,NA
"SRR6046000",NA,NA
"ERR2512477",NA,NA
"ERR2512478",NA,NA
"ERR2512479",NA,NA
"ERR2513636",NA,NA
"SRR6044949",NA,NA
"ERR2512481",NA,NA
"SRR3675211",NA,NA
"ERR2512482",NA,NA
"ERR2512483",NA,NA
"SRR6045281",NA,NA
"ERR2512484",NA,NA
"ERR2512485",NA,NA
"ERR2512486",NA,NA
"ERR2512487",NA,NA
"ERR2512404",NA,NA
"ERR2512489",NA,NA
"ERR2512490",NA,NA
"ERR2512491",NA,NA
"ERR2512492",NA,NA
"ERR2512493",NA,NA
"SRR6045899",NA,NA
"ERR2512494",NA,NA
"ERR2512495",NA,NA
"SRR6046384",NA,NA
"SRR3675215",NA,NA
"ERR2512496",NA,NA
"ERR2512497",NA,NA
"ERR2512498",NA,NA
"ERR2512499",NA,NA
"SRR6045279",NA,NA
"ERR2512500",NA,NA
"ERR2512501",NA,NA
"ERR2512502",NA,NA
"ERR2512503",NA,NA
"ERR2512504",NA,NA
"ERR2512505",NA,NA
"ERR2512506",NA,NA
"ERR2512507",NA,NA
"ERR2512508",NA,NA
"ERR2512509",NA,NA
"ERR2512510",NA,NA
"ERR2512511",NA,NA
"ERR2512512",NA,NA
"ERR2512513",NA,NA
"ERR2512514",NA,NA
"SRR6046860",NA,NA
"ERR2512515",NA,NA
"ERR2512517",NA,NA
"ERR2512518",NA,NA
"SRR6046733",NA,NA
"SRR6046586",NA,NA
"ERR2512519",NA,NA
"ERR2512520",NA,NA
"SRR3675217",NA,NA
"ERR2512521",NA,NA
"ERR2512522",NA,NA
"ERR2512523",NA,NA
"ERR2512524",NA,NA
"ERR2512525",NA,NA
"ERR2512526",NA,NA
"ERR2512527",NA,NA
"ERR2512528",NA,NA
"ERR2512529",NA,NA
"ERR2512634",NA,NA
"ERR2512531",NA,NA
"ERR2512532",NA,NA
"ERR2512534",NA,NA
"ERR2512535",NA,NA
"SRR3675218",NA,NA
"ERR2512536",NA,NA
"SRR6045314",NA,NA
"SRR6046819",NA,NA
"ERR2512537",NA,NA
"ERR2512538",NA,NA
