"id","pyrazinamide"
"SRR6045918",0
"ERR2512416",0
"ERR2512417",0
"ERR2512418",0
"ERR2512419",1
"ERR2513047",0
"ERR2512421",0
"ERR2512422",NA
"ERR2512423",0
"ERR2512424",0
"ERR2512425",0
"ERR2512426",0
"ERR2512427",0
"ERR2512390",0
"ERR2512429",0
"ERR2512430",0
"SRR6046675",0
"ERR2512431",0
"ERR2512432",0
"ERR2512433",0
"ERR2512434",0
"ERR2512435",0
"ERR2512436",0
"ERR2512437",0
"ERR2512438",0
"ERR2512439",0
"SRR6045699",0
"ERR2512440",1
"SRR6045870",0
"ERR2512441",0
"SRR6045232",0
"ERR2512442",0
"ERR2512443",0
"SRR6045291",0
"SRR6045704",0
"ERR2512444",0
"ERR2512445",0
"ERR2512446",0
"ERR2512447",0
"SRR6046861",0
"ERR2512448",0
"ERR2512449",0
"ERR2512450",0
"ERR2512451",0
"ERR2512452",0
"ERR2512453",0
"ERR2512454",0
"ERR2512455",0
"ERR2512456",0
"ERR2512457",0
"ERR2512458",0
"ERR2512616",0
"ERR2512460",NA
"ERR2512461",0
"SRR6045015",0
"ERR2512462",0
"SRR6046212",0
"ERR2512463",0
"ERR2512464",0
"ERR2512465",0
"SRR6046461",NA
"ERR2512466",0
"ERR2512467",1
"SRR6044840",0
"SRR6046260",0
"ERR2512468",0
"ERR2512469",0
"ERR2512470",0
"ERR2512471",0
"ERR2512472",0
"ERR2512473",0
"ERR2512474",0
"ERR2512475",0
"ERR2512476",0
"SRR6045743",0
"SRR6046574",NA
"SRR6046000",0
"ERR2512477",0
"ERR2512478",0
"ERR2512479",0
"ERR2513636",0
"SRR6044949",0
"ERR2512481",0
"SRR3675211",0
"ERR2512482",0
"ERR2512483",0
"SRR6045281",0
"ERR2512484",0
"ERR2512485",0
"ERR2512486",0
"ERR2512487",0
"ERR2512404",0
"ERR2512489",0
"ERR2512490",0
"ERR2512491",0
"ERR2512492",0
"ERR2512493",0
"SRR6045899",0
"ERR2512494",0
"ERR2512495",1
"SRR6046384",0
"SRR3675215",0
"ERR2512496",0
"ERR2512497",0
"ERR2512498",0
"ERR2512499",0
"SRR6045279",0
"ERR2512500",0
"ERR2512501",0
"ERR2512502",0
"ERR2512503",0
"ERR2512504",0
"ERR2512505",0
"ERR2512506",0
"ERR2512507",0
"ERR2512508",0
"ERR2512509",0
"ERR2512510",0
"ERR2512511",0
"ERR2512512",0
"ERR2512513",0
"ERR2512514",0
"SRR6046860",0
"ERR2512515",0
"ERR2512517",0
"ERR2512518",0
"SRR6046733",NA
"SRR6046586",0
"ERR2512519",0
"ERR2512520",0
"SRR3675217",0
"ERR2512521",0
"ERR2512522",0
"ERR2512523",0
"ERR2512524",0
"ERR2512525",NA
"ERR2512526",0
"ERR2512527",0
"ERR2512528",0
"ERR2512529",0
"ERR2512634",0
"ERR2512531",0
"ERR2512532",0
"ERR2512534",0
"ERR2512535",0
"SRR3675218",1
"ERR2512536",0
"SRR6045314",0
"SRR6046819",NA
"ERR2512537",0
"ERR2512538",0
"ERR2512539",0
"SRR6044856",0
"ERR2512389",0
"SRR6045085",1
"ERR2512541",0
"ERR2512542",0
"ERR2512543",0
"SRR6045992",0
"ERR2512544",0
"ERR2512545",0
"ERR2512546",0
"ERR2512398",0
"SRR6045433",0
"ERR2512548",0
"ERR2512549",1
"ERR2512550",0
"SRR6046456",NA
"SRR6045783",0
"ERR2512551",0
"ERR2512552",0
"ERR2512553",0
"ERR2512554",0
"ERR2512555",0
"SRR6046075",0
"ERR2512556",0
"ERR2512557",0
"ERR2512558",0
"ERR2512559",0
"ERR2513411",0
"ERR2512561",0
"ERR2512562",0
"ERR2512563",0
"ERR2512564",0
"ERR2512565",0
"ERR2512566",0
"SRR6044956",0
"ERR2512567",0
"ERR2512568",0
"ERR2512569",0
"SRR6046812",0
"ERR2512570",1
"ERR2512571",0
"ERR2512572",0
"ERR2512573",0
"SRR3675224",0
"ERR2512574",0
"ERR2512575",0
"ERR2512576",0
"SRR6046668",0
"ERR2512577",0
"ERR2512578",0
"ERR2512579",0
"ERR2512580",0
"SRR6045967",0
"ERR2512581",0
"ERR2512582",0
"SRR6045034",0
"ERR2512583",0
"ERR2512584",0
"ERR2512585",0
"ERR2512586",0
"ERR2512587",0
"SRR6046585",NA
"ERR2512588",0
"ERR2512590",0
"SRR6045502",0
"ERR2512591",1
"ERR2512592",0
"ERR2512593",0
"ERR2512594",0
"ERR2512595",0
"ERR2512596",NA
"ERR2513907",0
"ERR2512598",0
"SRR6045574",0
"ERR2512599",0
"ERR2512600",0
"ERR2512601",NA
"ERR2512602",0
"ERR2512603",0
"ERR2512604",0
"ERR2512605",0
"ERR2512606",0
"ERR2512607",0
"ERR2512608",0
"ERR2512609",0
"ERR2512610",0
"ERR2512611",0
"ERR2512612",0
"SRR6045288",0
"ERR2512613",0
"ERR2512614",0
"ERR2512615",0
"ERR2513464",0
"SRR6046297",0
"ERR2512617",0
"ERR2512618",0
"ERR2512619",0
"ERR2513624",0
"ERR2512621",0
"SRR6044817",0
"ERR2512622",0
"SRR6045841",0
"SRR6045966",0
"ERR2512624",0
"ERR2512625",0
"SRR6046418",0
"ERR2512626",0
"ERR2512627",0
"ERR2512628",0
"SRR6045462",0
"ERR2512629",0
"ERR2512630",0
"ERR2512631",0
"ERR2512632",0
"ERR2512633",0
"ERR2512560",0
"ERR2512635",0
"ERR2512636",0
"ERR2512637",0
"ERR2512638",0
"ERR2512639",0
"SRR6046376",0
"SRR6044909",0
"SRR6045825",0
"SRR6046291",0
"ERR2512640",0
"SRR6046243",0
"ERR2512642",NA
"ERR2512643",0
"ERR2512644",0
"ERR2512645",0
"ERR2512646",0
"ERR2512647",1
"ERR2512648",0
"ERR2512649",0
"SRR6046269",NA
"ERR2512650",0
"ERR2512651",0
"ERR2512652",0
"ERR2512653",0
"ERR2512654",0
"ERR2512655",0
"ERR2512656",0
"ERR2512657",0
"ERR2512658",0
"ERR2512659",0
"ERR2512660",0
"ERR2512661",0
"ERR2512662",0
"ERR2513783",0
"ERR2512664",NA
"ERR2512665",0
"ERR2512666",0
"ERR2512667",0
"ERR2512668",0
"ERR2512669",0
"ERR2512670",0
"SRR6045175",0
"ERR2512671",0
"SRR6045714",0
"ERR2512672",0
"ERR2513305",0
"ERR2512674",0
"SRR6046902",0
"ERR2512675",1
"ERR2512676",1
"ERR2512677",0
"ERR2512678",0
"ERR2512679",0
"ERR2512680",0
"ERR2512681",0
"ERR2512682",0
"SRR6046827",0
"ERR2512683",0
"ERR2512684",0
"ERR2512685",0
"ERR2512686",0
"SRR6045472",0
"ERR2512687",0
"ERR2512688",0
"SRR6045993",0
"ERR2512689",0
"ERR2512690",0
"SRR6045024",0
"ERR2513583",0
"ERR2512692",0
"ERR2512693",0
"SRR6046159",0
"ERR2512694",0
"ERR2512695",0
"ERR2512696",0
"ERR2512391",0
"ERR2512698",0
"ERR2512699",0
"ERR2512700",1
"ERR2512397",0
"SRR6045255",0
"ERR2512702",0
"ERR2512765",0
"ERR2512704",0
"ERR2512705",0
"ERR2512706",0
"ERR2512707",0
"ERR2512708",0
"ERR2512709",0
"ERR2512710",0
"ERR2512711",0
"ERR2512712",0
"ERR2512713",0
"ERR2512714",0
"ERR2512715",0
"SRR6045012",0
"ERR2512716",0
"ERR2512814",0
"ERR2512718",1
"ERR2512719",0
"ERR2512720",0
"ERR2512547",0
"ERR2512722",0
"ERR2512723",0
"ERR2512724",0
"ERR2512725",NA
"SRR6045417",NA
"ERR2512726",0
"ERR2512727",0
"ERR2512728",0
"ERR2512729",0
"ERR2512730",1
"SRR6046088",0
"ERR2512731",0
"ERR2512732",1
"SRR6045741",0
"SRR6046149",0
"ERR2512733",0
"SRR6045185",NA
"ERR2512734",0
"SRR6046710",0
"ERR2512735",0
"SRR6045072",0
"ERR2512736",0
"SRR6046628",0
"ERR2512737",0
"ERR2512738",0
"ERR2512739",0
"ERR2512740",0
"ERR2512741",0
"ERR2512742",0
"ERR2512743",0
"ERR2512744",0
"ERR2512745",0
"SRR6045971",0
"ERR2512746",1
"SRR6046190",0
"ERR2512747",0
"ERR2512748",0
"ERR2512749",0
"ERR2512750",NA
"SRR6046706",0
"SRR6045790",0
"ERR2512751",0
"ERR2512752",0
"ERR2512753",0
"ERR2512754",0
"SRR6044873",0
"ERR2512755",1
"ERR2512756",0
"ERR2512757",0
"ERR2512758",0
"ERR2512759",0
"ERR2512760",0
"ERR2512761",0
"ERR2512762",0
"SRR6045726",0
"ERR2512763",0
"ERR2512764",0
"ERR2512406",0
"ERR2512766",0
"SRR6045739",0
"ERR2512767",NA
"ERR2512768",0
"ERR2512769",NA
"ERR2512770",0
"ERR2512771",0
"ERR2512772",0
"ERR2512773",0
"SRR6046544",0
"ERR2512774",0
"SRR6046082",0
"ERR2512775",0
"ERR2512776",0
"ERR2512777",0
"ERR2512778",0
"ERR2512779",0
"ERR2512780",0
"ERR2512781",0
"ERR2512782",0
"SRR6044821",0
"ERR2512783",0
"ERR2512784",0
"ERR2512785",0
"ERR2512786",0
"ERR2512787",0
"ERR2512788",0
"ERR2512789",0
"ERR2512790",0
"ERR2512791",0
"ERR2512792",0
"ERR2512793",0
"ERR2512794",0
"SRR6046354",0
"ERR2512795",0
"SRR6046093",0
"ERR2512796",0
"ERR2512797",0
"SRR6045022",0
"ERR2512798",0
"ERR2512799",0
"ERR2512800",0
"ERR2512801",0
"ERR2512802",0
"ERR2512803",0
"ERR2512804",0
"ERR2512805",0
"ERR2512806",0
"ERR2512807",0
"ERR2512808",0
"ERR2512809",0
"SRR6045559",0
"SRR6045810",0
"ERR2512810",0
"ERR2512811",0
"ERR2512812",0
"ERR2512813",0
"SRR6044889",0
"ERR2513337",0
"ERR2512815",0
"ERR2512816",0
"ERR2512817",0
"ERR2512818",0
"ERR2512819",0
"SRR6045065",0
"SRR6044904",0
"ERR2512820",0
"ERR2512821",0
"ERR2512822",0
"ERR2512823",0
"ERR2512824",0
