"id","streptomycin"
"SRR6045918",NA
"ERR2512416",NA
"ERR2512417",NA
"ERR2512418",NA
"ERR2512419",NA
"ERR2513047",NA
"ERR2512421",NA
"ERR2512422",NA
"ERR2512423",NA
"ERR2512424",NA
"ERR2512425",NA
"ERR2512426",NA
"ERR2512427",NA
"ERR2512390",NA
"ERR2512429",NA
"ERR2512430",NA
"SRR6046675",NA
"ERR2512431",NA
"ERR2512432",NA
"ERR2512433",NA
"ERR2512434",NA
"ERR2512435",NA
"ERR2512436",NA
"ERR2512437",NA
"ERR2512438",NA
"ERR2512439",NA
"SRR6045699",NA
"ERR2512440",NA
"SRR6045870",NA
"ERR2512441",NA
"SRR6045232",NA
"ERR2512442",NA
"ERR2512443",NA
"SRR6045291",NA
"SRR6045704",NA
"ERR2512444",NA
"ERR2512445",NA
"ERR2512446",NA
"ERR2512447",NA
"SRR6046861",NA
"ERR2512448",NA
"ERR2512449",NA
"ERR2512450",NA
"ERR2512451",NA
"ERR2512452",NA
"ERR2512453",NA
"ERR2512454",NA
"ERR2512455",NA
"ERR2512456",NA
"ERR2512457",NA
"ERR2512458",NA
"ERR2512616",NA
"ERR2512460",NA
"ERR2512461",NA
"SRR6045015",NA
"ERR2512462",NA
"SRR6046212",NA
"ERR2512463",NA
"ERR2512464",NA
"ERR2512465",NA
"SRR6046461",NA
"ERR2512466",NA
"ERR2512467",NA
"SRR6044840",NA
"SRR6046260",NA
"ERR2512468",NA
"ERR2512469",NA
"ERR2512470",NA
"ERR2512471",NA
"ERR2512472",NA
"ERR2512473",NA
"ERR2512474",NA
"ERR2512475",NA
"ERR2512476",NA
"SRR6045743",NA
"SRR6046574",NA
"SRR6046000",NA
"ERR2512477",NA
"ERR2512478",NA
"ERR2512479",NA
"ERR2513636",NA
"SRR6044949",NA
"ERR2512481",NA
"SRR3675211",NA
"ERR2512482",NA
"ERR2512483",NA
"SRR6045281",NA
"ERR2512484",NA
"ERR2512485",NA
"ERR2512486",NA
"ERR2512487",NA
"ERR2512404",NA
"ERR2512489",NA
"ERR2512490",NA
"ERR2512491",NA
"ERR2512492",NA
"ERR2512493",NA
"SRR6045899",NA
"ERR2512494",NA
"ERR2512495",NA
"SRR6046384",NA
"SRR3675215",NA
"ERR2512496",NA
"ERR2512497",NA
"ERR2512498",NA
"ERR2512499",NA
"SRR6045279",NA
"ERR2512500",NA
"ERR2512501",NA
"ERR2512502",NA
"ERR2512503",NA
"ERR2512504",NA
"ERR2512505",NA
"ERR2512506",NA
"ERR2512507",NA
"ERR2512508",NA
"ERR2512509",NA
"ERR2512510",NA
"ERR2512511",NA
"ERR2512512",NA
"ERR2512513",NA
"ERR2512514",NA
"SRR6046860",NA
"ERR2512515",NA
"ERR2512517",NA
"ERR2512518",NA
"SRR6046733",NA
"SRR6046586",NA
"ERR2512519",NA
"ERR2512520",NA
"SRR3675217",NA
"ERR2512521",NA
"ERR2512522",NA
"ERR2512523",NA
"ERR2512524",NA
"ERR2512525",NA
"ERR2512526",NA
"ERR2512527",NA
"ERR2512528",NA
"ERR2512529",NA
"ERR2512634",NA
"ERR2512531",NA
"ERR2512532",NA
"ERR2512534",NA
"ERR2512535",NA
"SRR3675218",NA
"ERR2512536",NA
"SRR6045314",NA
"SRR6046819",NA
"ERR2512537",NA
"ERR2512538",NA
"ERR2512539",NA
"SRR6044856",NA
"ERR2512389",NA
"SRR6045085",NA
"ERR2512541",NA
"ERR2512542",NA
"ERR2512543",NA
"SRR6045992",NA
"ERR2512544",NA
"ERR2512545",NA
"ERR2512546",NA
"ERR2512398",NA
"SRR6045433",NA
"ERR2512548",NA
"ERR2512549",NA
"ERR2512550",NA
"SRR6046456",NA
"SRR6045783",NA
"ERR2512551",NA
"ERR2512552",NA
"ERR2512553",NA
"ERR2512554",NA
"ERR2512555",NA
"SRR6046075",NA
